item_id,restaurant_id,name,description,price
MI00001,R0001,Risotto Mushroom,Creamy arborio rice with wild mushrooms,17.25
MI00002,R0001,Tiramisu,Classic Italian coffee dessert,8.00
MI00003,R0001,Fettuccine Alfredo,Creamy garlic parmesan pasta,18.53
MI00004,R0001,Chicken Parmigiana,Breaded chicken with marinara and cheese,20.25
MI00005,R0001,Margherita Pizza,"Classic tomato sauce, mozzarella, and basil",12.59
MI00006,R0001,Lasagna,Layered pasta with meat sauce and ricotta,21.80
MI00007,R0001,Spaghetti Carbonara,Creamy pasta with pancetta and parmesan,15.56
MI00008,R0002,Chicken Parmigiana,Breaded chicken with marinara and cheese,17.92
MI00009,R0002,Margherita Pizza,"Classic tomato sauce, mozzarella, and basil",12.82
MI00010,R0002,Risotto Mushroom,Creamy arborio rice with wild mushrooms,15.77
MI00011,R0002,Bruschetta,"Toasted bread with tomatoes, garlic, and basil",10.39
MI00012,R0002,Fettuccine Alfredo,Creamy garlic parmesan pasta,16.51
MI00013,R0002,Lasagna,Layered pasta with meat sauce and ricotta,21.51
MI00014,R0002,Tiramisu,Classic Italian coffee dessert,12.66
MI00015,R0003,Risotto Mushroom,Creamy arborio rice with wild mushrooms,15.96
MI00016,R0003,Lasagna,Layered pasta with meat sauce and ricotta,18.77
MI00017,R0003,Tiramisu,Classic Italian coffee dessert,13.29
MI00018,R0003,Spaghetti Carbonara,Creamy pasta with pancetta and parmesan,14.21
MI00019,R0004,Lasagna,Layered pasta with meat sauce and ricotta,21.13
MI00020,R0004,Risotto Mushroom,Creamy arborio rice with wild mushrooms,19.63
MI00021,R0004,Chicken Parmigiana,Breaded chicken with marinara and cheese,19.57
MI00022,R0004,Margherita Pizza,"Classic tomato sauce, mozzarella, and basil",16.34
MI00023,R0004,Spaghetti Carbonara,Creamy pasta with pancetta and parmesan,20.35
MI00024,R0004,Tiramisu,Classic Italian coffee dessert,8.00
MI00025,R0004,Bruschetta,"Toasted bread with tomatoes, garlic, and basil",14.89
MI00026,R0004,Fettuccine Alfredo,Creamy garlic parmesan pasta,17.46
MI00027,R0005,Lasagna,Layered pasta with meat sauce and ricotta,21.30
MI00028,R0005,Tiramisu,Classic Italian coffee dessert,12.79
MI00029,R0005,Spaghetti Carbonara,Creamy pasta with pancetta and parmesan,18.21
MI00030,R0005,Margherita Pizza,"Classic tomato sauce, mozzarella, and basil",17.37
MI00031,R0005,Chicken Parmigiana,Breaded chicken with marinara and cheese,20.08
MI00032,R0006,Kung Pao Chicken,Spicy stir-fried chicken with peanuts,14.60
MI00033,R0006,Fried Rice,Wok-fried rice with egg and vegetables,11.20
MI00034,R0006,Mapo Tofu,Spicy tofu in Sichuan sauce,12.94
MI00035,R0006,Beef Chow Mein,Stir-fried noodles with beef and vegetables,14.19
MI00036,R0006,Sweet and Sour Pork,Crispy pork in tangy sauce,12.98
MI00037,R0006,Dim Sum Platter,Assorted steamed dumplings,14.38
MI00038,R0006,Spring Rolls,Crispy vegetable rolls with dipping sauce,10.28
MI00039,R0007,Dim Sum Platter,Assorted steamed dumplings,17.91
MI00040,R0007,Beef Chow Mein,Stir-fried noodles with beef and vegetables,12.95
MI00041,R0007,Sweet and Sour Pork,Crispy pork in tangy sauce,12.39
MI00042,R0007,Spring Rolls,Crispy vegetable rolls with dipping sauce,13.27
MI00043,R0008,Fried Rice,Wok-fried rice with egg and vegetables,10.87
MI00044,R0008,Dim Sum Platter,Assorted steamed dumplings,20.56
MI00045,R0008,Beef Chow Mein,Stir-fried noodles with beef and vegetables,16.95
MI00046,R0008,Mapo Tofu,Spicy tofu in Sichuan sauce,13.15
MI00047,R0008,Kung Pao Chicken,Spicy stir-fried chicken with peanuts,19.57
MI00048,R0008,Sweet and Sour Pork,Crispy pork in tangy sauce,15.61
MI00049,R0009,Fried Rice,Wok-fried rice with egg and vegetables,15.82
